party,work_for
Perussuomalaiset,Ihmisten hyvinvointi ja arjen tukeminen. Oikeudenmukaisen ja turvallisen tulevaisuuden edistäminen.
Kansallinen Kokoomus,"Vähemmän regulaatiota työmarkkinoille, joka johtaa parempaan työllisyyteen."
Suomen Kristillisdemokraatit (KD),"Pienituloisten eläkeläisten parempaa toimeentuloa, ei heikennyksiä. Lapsiperheiden hyvinvointia ja toimeentuloa edistää Työtä nuorille ja työttömäksi joutuneille. Tukea pienyrittäjille."
Suomen Keskusta,"Erityisesti nuoret, koulutus, yrittäjyys ja maa- ja metsätalousasioita. Myös kolmas- eli järjestösektori on tärkeä."
Suomen Keskusta,Kärkiteemana minulla on palauttaa päätöksenteko takaisin todellisuuteen. Käytännönläheisyyttä on lisättävä ja turhaa sääntelyä ja byrokratiaa on karsittava kovalla kädellä.
Suomen Sosialidemokraattinen Puolue,Leikkauslistat ovat populismia. Yksittäisiä asioita ei voi irrottaa kokonaisuuksista. Työllisyysasteen nostaminen on välttämätöntä.
Perussuomalaiset,"Yhteiskunnallisia ja tavallisen suomalaisen ihmisen elämään, normaaliin arkeen liittyviä tärkeitä asioita. Olen rehti ja reilu, suorasanainen. Minulla on halu sekä kova tahto tehdä, parantaa ja vaikuttaa asioihin Sinun puolestasi ja parhaaksesi! Käsi sydämellä."
Suomen Keskusta,Haluan purkaa yrittämisen ja työnteon esteitä sekä edistää kaikin keinoin kotimaista kulutusta. Haluan estää tuloerojen kasvua ja varmistaa sisäisen ja ulkoisen turvallisuuden resurssit.
Vasemmistoliitto,"Lisätä ennaltaehkäiseviä peruspalveluja.  Investoida suomalaisia hyödyttäviin infra-kohteisiin, kuten maantiet, rautatiet, sillat, koulut, päiväkodit, sairaalat jne.  Estää verovuodot ja veron kiertäminen."
Vasemmistoliitto,"Asia, jossa olemme hyviä eli koulutus on turvattava. Ei enää leikkauksia! Päin vastoin koulutuksessa on paljon vientipotentiaalia, jota ei saa enää hukata. Yrittäminen on tehtävä helpommaksi työntekijän oikeuksia polkematta. Esim. uusiutuvissa energiavaroissa piilee paljon uusia teknologia-alan työpaikkoja."
Perussuomalaiset,"Suomalaisten hyvinvointi pitää asettaa etusijalle. En hyväksy, että Suomi yrittää toimia maailman sosiaalitoimistona kansalta kerätyin verovaroin!"
Perussuomalaiset,"Verotuksen järkevöittäminen, työllisyyden ja yrittämisen tukeminen, lapsiperheet ja varttuneemmat, ympäristön vastuullinen käyttö, turvallinen yhteiskunta kaikille ilman jatkuvaa sääntelyä."
Suomen Keskusta,"Haluan edistää Suomen kuntoon laittamista, erityisesti talous pitää saada ojennukseen ja työtä useammille. Sydäntä lähellä lapset ja heidän perheensä."
Suomen Keskusta,"Suomalaisen työn, toimeentulon ja hyvinvoinnin turvaaminen. Metsävarojen täysimääräinen hyödyntäminen ja järkevä energiapolitiikka."
Vasemmistoliitto,"Yhteiskunta on ihmistä varten. Peruspalvelut pitää turvata. Jokaiselle kuuluu turvallinen lapsuus, hyvä koulutus, mielekäs työ ja arvokas vanhuus."
Suomen Keskusta,"Perheiden hyvinvointia, yrittäjyyden kannustavuutta,  elinvoimaista maaseutua ja kuntatalouden tasapainottamista. Maalaisjärki pitää palauttaa päätöksentekoon!"
Vihreä liitto,"Perustuloa, pienyrittäjyyden edistämistä, maatalouden ekologisointia, kansalaisten voimaantumista uuden edessä."
Vasemmistoliitto,Vanhusten asiat kuntoon.  Seksuaalivähemmistöjen oikeudet kuntoon.  Turvallinen isänmaa(Suomi) laaja käsite.
Suomen Keskusta,"Haluan edistää hajautettua yhteiskuntaa: hajautettua taloutta, hajautettuja palveluja ja hajautettua hallintoa. Niiden avulla voimme rakentaa entistä kestävämmän Suomen."
Perussuomalaiset,Haluan helpottaa ihan tavallisen kansalaisen päivän arkea ja yrittäjän arkea. Sekä peruspalveluiden joustavaa saantia.
Suomen Keskusta,"Olen työskennellyt yrittäjänä yli 26 vuotta. Yritysten perustaminen, kasvattaminen ja vientiponnistukset ovat opettaneet, mikä merkitys maaseudun yrityksillä on työllistäjinä sekä kilpailukyvyn ja hyvinvoinnin rakentajina.    Yritysten nousu- ja laskukaudet ovat osoittaneet, että ihmisistä huolehtiminen, itsensä likoon laittaminen ja toiminnan taloudellisena pitäminen ovat avaintekijöitä niin hyvinä kuin huonoina aikoina. Haluan olla varmistamassa, että Suomessa on tulevaisuudessakin kilpailukykyiset yritykset, elinvoimainen maaseutu sekä tasapuolisesti toimivat julkisen sektorit palvelut."
Vihreä liitto,"Tasa-arvoa, suvaitsevuutta ja hyvinvointivaltion raketamista"
Suomen Sosialidemokraattinen Puolue,"Heikompiosaisista tulee pitää huolta. Turvallisuuden ja yhteiskuntarauhan eteen tulen tekemään töitä. Köyhyyden ja eriarvoisuuden poistaminen tulee ottaa hallitusohjelman yhdeksi tavoitteeksi ja jokaista päätöstä tehtäessä se on huomioitava. Tulen antamaan äänen myös heille, joilla päätöksenteossa sitä ei ole mm. lapset, nuoret, vaikeasti sairaat, luonto. Työllisyyden edistämiseksi on tehtävä kaikki voitava. Tarvittavat muutokset on toteutettava oikeudenmukaisesti. Tulevaisuuteen on uskottava ja ihmisille on välitettävä toivoa paremmasta huomisesta."
Kansallinen Kokoomus,"julkisen talouden tasapaino, vapaammat työmarkkinat, vähemmän sääntelyä, ansioturvareformi, perustili"
Suomen Sosialidemokraattinen Puolue,"Haluan olla edistämässä työn ja yrittämisen edellytyksiä, investointeja maahamme sekä kannustavia tukimuotoja samalla kun turvaamme, että jokaisella olisi säädylliset tulot arvokkaan elämän edellytyksiin."
Suomen Keskusta,"Talouden, turvallisuuden ja työn edistämistä. Suomi vahvistuu vain jos maamme kaikki voimavarat ovat käytössä. Suomi kulkee kohti biotalousyhteiskuntaa."
Vasemmistoliitto,"Haluan nostaa perusturvan tasoa ja ajaa sosiaaliturvajärjestelmäämme kohti perustuloa. Lisäisin koulutuksen ja terveydenhuollon rahoitusta leikkausten sijaan. Näiden lisäksi olisin mukana varmistamassa, että Suomi tekee mittavia investointeja uusiutuvaan energiaan ja vähentää radikaalisti kivihiilen sekä turpeen käyttöä energian tuotannossaan."
Perussuomalaiset,"Yrittäjien asiaa, eläkkeiden indeksin korjaamisen, on jäljessä 25 vuotta palkkakehityksestä.  Alipalkatut naiset, heille korjauksia samoin omaishoitajille ja lapsiperheille tukea tarvittaessa. mm."
Suomen Sosialidemokraattinen Puolue,"Lasten ja lapsiperheiden asioita, nuorisotakuun kehittämistä ja pienyrittäjien parempaa tukemista"
Vasemmistoliitto,"Haluan edistää tuloerojen kaventumista ja perheiden hyvinvointia elvyttävällä talouspolitiikalla ja investoinneilla. Elinvoima kasvaa koulutuksen, tieteen ja kulttuurin avulla. Työllisyyttä syntyy kestävillä energiaratkaisuilla.     Haluan laskea yrittämisen kynnystä ALV-rajan laskulla, mutta palauttaa yritys-, ja yhteiskuntavastuun, sekä työehdot kunniaan. Verovuoto on saatava loppumaan ja luottamus palautettava talouteen ja yhteiskuntaan yleisesti. Luottamus luo hyvinvoinnin, ei päinvastoin.     Tulen korostamaan toimenpiteiden vaikutusten arviointia. Enää ei leikata lyhytnäköisesti koulutuksesta, tieteestä, taiteesta, perheiden tai eläkeläisten toimeentulosta ja kurjisteta tilannetta entisestään. Eläkekatto on pieneläkeläisiltä niistämistä kestävämpi tie.     Vanhempien jaksaminen kilpailuyhteiskunnassa heijastuu suoraan lapsiin. Trendi hoiva-alalla, varhaiskasvatuksesta vanhuspalveluihin, on ollut ulkoistaminen ja eriarvoistaminen ja kallistuminen. Haluan palauttaa julkiset palvelut kunniaan ja pysäyttää yksityistämiskierteen.     Energiapolitiikka on tulevaisuuden työllisyyden avain. Haluan kiriä kiinni Suomen takamatkan clean techissä ja uusiutuvassa energiassa. Tämä onnistuu vain panostamalla talousresursseja tutkimukseen ja kehitystyöhön    Halua katkaista EU:n saneluvallan niin talous-, kuin ulkopolitiikkaankin. Pankit ja suurvallat ovat sanelleet kummankin suunnan liian pitkään."
Suomen Sosialidemokraattinen Puolue,Haluan ajaa Suomen ja suomalaisten asiaa.  Haluan ajaa Lapin ja lappilaisten asiaa.  Haluan ajaa vähäosaisten asiaa.  Haluan ajaa työläisten asiaa.  Haluan ajaa MEIDÃ„N asioitamme.
Suomen Sosialidemokraattinen Puolue,Teollisuuden edistäminen hyvinvointipalvelujen turvaamiseksi verotulojen kautta. Poistaa nollatyösopimukset.
Vihreä liitto,"Haluan edistää tasa-arvoa, torjua köyhyyttä ja parantaa kaikkien mahdollisuuksia osallistua työmarkkinoille.    Haluan turvata puhtaat vedet, suojella soita ja rajoittaa ilmastonmuutosta. Luontoa ja ympäristöä on puolustettava piittaamattomien poliitikkojen hyökkäyksiltä.     Haluan puolustaa nuorten tulevaisuutta ja estää huono-osaisuuden periytymisen sukupolvelta toiselle."
Suomen Sosialidemokraattinen Puolue,"ihmisen tasa-arvoinen tukeminen sosiaalisissa ja sairaus-asioissa, Suomen selviäminen talous- ja turvallisuus-verkoissa"
Vihreä liitto,Haluan edistää lasten ja nuorten hyvinvointia. Tämä pitää sisällään niin peruskoulutuksen tasa-arvon ja laadukkuuden kuin nuorten mielenterveyspalvelutkin.
Vihreä liitto,"Edistän ympäristön ja ilmaston huomioimista kaikessa päätöksenteossa. Edistän suvaitsevaisuuta ja tasa-arvoa. Edistän sivistystä, koulutusta, tietoa, tiedettä ja teknologiaa. Edistän Suomen kykyä sopeutua muuttuvaan maailmaan."
Vasemmistoliitto,Haluan tasa-arvoisemman ja monikulttuurisemman yhteiskunnan. Haluan rakennus- ja kulttuuriperinnölle enemmän tukea ja suojelua.
Vasemmistoliitto,"Pienimpien etuuksien nostoa. Minimiäitiyspäivärahat ja muut sosiaalietuudet ovat jääneet jälkeen. Lapsilisäleikkaus tulee perua. Askeleet kohti perustuloa on otettava. Lisäksi soteuudistus tulee toteuttaa asiakkaan etu edellä, jolloin sairaaloita ei vähennetä, vaan laatua ja hoitoonpääsyä parannetaan."
Vasemmistoliitto,Työläisten ja tavallisten ihmisten asoita
Vasemmistoliitto,"Tasa-arvo, luontoarvot, perustulo, elvytys, äitiyslaki, translaki ja 6+6+6"
Perussuomalaiset,"Yrittämiseen, työllistymiseen ja oikeudenmukaiseen kohteluun(esim. vakuutusoikeusasiat) liittyviä asioita."
Suomen Sosialidemokraattinen Puolue,"Suomi nousee kunnon työllä.   Tarvitsemme uutta kasvua, työtä ja investointeja. Ennen kaikkea tarvitsemme työntekijöiden arvostusta. Nollasopimukset on kitkettävä ja alipalkan maksaminen on tehtävä rangaistavaksi.    Verot on maksukyvyn mukaan.   On oikeudenmukaista, että verot asetetaan maksukyvyn mukaan. Veronkevennykset tulee jatkossa kohdistaa sinne, missä niitä eniten tarvitaan: pieni- ja keskituloisille.    Eläminen tällä seudulla ei saa maksaa liikaa. Tarvitsemme lisää kohtuuhintaisia koteja ja toimivampaa, kohtuuhintaista joukkoliikennettä. Myös Uusimaa tarvitsee valtion investointeja ja lisää työtä."
Suomen Kristillisdemokraatit (KD),"Haluan katsoa tulevaisuuteen, ja siksi on tärkeää toimia ennakkoluulottomasti yhteiskunnan rakenteiden parantamiseksi. Ei ole varaa elää enää velaksi - muttei ole myöskään varaa olla auttamatta yhteiskunnan heikoimpia."
Vihreä liitto,"Tavoitteenani on mahdollistaa onnellinen ja turvallinen elämä jokaiselle lapselle. Olen pitkään toiminut lasten ja nuorten hyväksi. Haluan nähdä, että tulevalla vaalikaudella lasten, nuorten ja opiskelijoiden palveluita vahvistetaan."
Suomen Keskusta,Suomi on saatava taantuman tieltä kasvun uralle. Ilman tervettä valtiontaloutta vaarannamme hyvinvointivaltion peruspalvelut.
Suomen Sosialidemokraattinen Puolue,Tasaisempaa tulonjakoa: Palkalla tai eläkkeellä pitää tulla toimeen.  Perheille parempi tuki eri elämäntilanteisiin. Ikäihmisten elämäntyötä pitää kunnioittaa huolehtimalla heille  parempi vanhuus. Suomen menestystekijä on koulutus. Siihen pitää panostaa tulevaisuudessakin. Työttömien ääntä pitää kuunnella entistä paremmin.
Perussuomalaiset,"Miten on mahdollista, että perhe, jossa kumpikin käyvät töissä, hädin tuskin pärjäävät taloudellisesti ??? Saati sitten vielä heikompiosaiset ??? Tähän PITÃ„Ã„ saada muutos !!!"
Vihreä liitto,Ympäristön ja inhimillisen hyvinvoinnin huomioivia uudistuksia. Yrittäjyyden tukemista. Kannustavia ja osallistavia yhteiskuntarakenteita. Kulttuuriasioita!
Suomen Sosialidemokraattinen Puolue,"Haluan uudistaa suomalaista koulutusta ja kehittää työelämää, jotta Suomen talous lähtee kestävään nousuun."
Suomen Kristillisdemokraatit (KD),"Suojella lapsia, rohkaista nuoria ja pitää perheiden puolta. Varttuneiden ihmisten kunnioittaminen täytyy nostaa esiin. Yrittämistä täytyy helpottaa, tukea ja rohkaista. Suomen turvallisuutta rajoilla ja sisällä koko maassa täytyy parantaa."
Perussuomalaiset,"Synnytyssairaalat on säilytettävä, koulutuksen turvaamista ja hyvinvointi kuuluu kaikille. Sekä nuoret, yrittäjyys ja työ."
Suomen Kristillisdemokraatit (KD),"mielenterveydenhoito, lasten/nuorten hyväksi, yrittäjyys ja sen avulla luoda lisää työpaikkoja, vähentää tuloeroja, elävä maaseutu"
Perussuomalaiset,"Kaiken keskiössä on talous. Talouden suunnan muutos on myös eläkeläisen, työttömän ja sairaan etu. Yrittämisen edellytyksiä on parannettava merkittävästi. Maahanmuuttopolitiikan on oltava Suomelle hyödyllistä, ei haitallista."
Suomen Keskusta,"kotimaa tulee laittaa kuntoon työllä ja yrittäjyydellä. palvelut pitää turvata kaikille asuinpaikasta riippumatta. Kolmanneksi haluan edistää sitä, että kodeissa voidaan hyvin."
Vasemmistoliitto,"- Lasten oikeudet politiikan keskiöön. Pienemmät ryhmäkoot kouluihin ja päiväkoteihin.  â€“ On peruttava lapsilisien, opintotuen ja eläkkeiden leikkaukset.  â€“ Asumisen hinta alas. On rakennettava kohtuuhintaisia vuokra-asuntoja.  â€“ Töitä kunn"
Vihreä liitto,Kohti kestävää ja onnellista yhteiskuntaa:  - tasa-arvo  - ihmisoikeudet  - ekologisuus
Perussuomalaiset,"Tämänhetkinen talous- ja maailmanpoliitinen tilanne vaatii tiukkaa suomalaisten edunvalvontaa. Erityisesti kannan huolta siitä, että pienituloisten ja yhteiskuntamme heikompiosaisten ääni tulee kuuluviin. Mihin Sinun veroeurosi käytetään? Maksetaanko niillä suomalaisten palvelut vai toimimmeko koko Euroopan sosiaalitoimistona?"
Suomen Sosialidemokraattinen Puolue,"Haluan edistää koulutus-, varhaiskasvatus- ja työllisyysasioita, myös perheiden hyvinvointi ja eriarvoistumisen ehkäisy sekä kulttuurin puolestapuhuminen ovat minulle tärkeitä teemoja."
Suomen Sosialidemokraattinen Puolue,"Työelämäkysymysten ratkaisua, yhdenvertaisuutta kaikilla elämän osa-alueilla sekä turvallisuutta."
Vihreä liitto,"Koulutuksen voimavarat ja kehittäminen turvataan  Oikeus terveeseen kasvuun ja turvalliseen ympäristöön  Talous tasapainoon kestävin keinoin, perustulo kokeiluun"
Vasemmistoliitto,"Haluan edistää tasa-arvoa, tuloeroja kaventavaa politiikkaa ja järkevää ympäristöpolitiikkaa."
Kansallinen Kokoomus,"Teemani on Lappi eläväksi: koulutuskenttä säilytettävä, hyöty Lapin kansainvälisyydestä, pohjoismainen hyvinvointivaltio säilytettävä työn ja uusien innovaatioiden kautta. Sivistys ja kulttuuri kantaa eteenpäin ihmisen henkistä kasvua."
Perussuomalaiset,"On uskallettava puuttua ajoissa, sillä ennaltaehkäisy kannattaa. Perheitä on tuettava, lähineuvolat on palautettava takaisin.     Rauhoitetaan ja rahoitetaan koulu, sillä koulutus on kilpailukykymme ykkösnyrkki.    Suomalainen työ on palautettava kunniaan, emme voi ulkoistaa kaikkea työtä ulkomaille."
Perussuomalaiset,"Suomalainen elintarviketeollisuus, maatalous ja ruokakauppa ovat lähellä sydäntäni. Nämä asiat pitää saada takaisin elinvoimaiseksi. Mm. näitä asioita haluan ajaa."
Kansallinen Kokoomus,"Talouden tasapainottamista, sote-ratkaisujen löytymistä palvelurakennetta kehittämällä, turvallisuutta ja koulutuspoliittisia asioita."
Vasemmistoliitto,Puollustaa hyvinvointivaltiota ja säilyttää se mahdollisimman hyvänä.
Perussuomalaiset,"Työ ja talous, turvallisuus, elvytysohjelma, työperäinen maahanmuuttopolitiikka, rakenteelliset muutokset, hyvinvointiyhteiskunnan normisto, vanhukset ja perhepolitiikka, innovaatiopoltiikka, luonnonvarat ja niiden kierrätys, green tech, byrokratian karsiminen."
Perussuomalaiset,"Pyrin estämään Suomea liukumasta Kreikan tulehtuneeseen tilanteeseen, jonka syitä ovat maahanmuutto, valtion velkaantuminen sekä paisunut virkakoneisto."
Vasemmistoliitto,"Maksuton ja saavutettava koulutus kaikille.  Työtä ja toimeentuloa kansalle.  Verotus kohilleen, yksinkertainen on kaunista!"
Vihreä liitto,"Haluan parantaa eläinten asemaa, suojella luonnon monimuotoisuutta ja kehittää mielenterveysongelmien hoitoa sekä ennaltaehkäisyä."
Perussuomalaiset,"Työn ja yrittäjien edistäminen. Kansallinen turvallisuus. On viimeiset ajat nostaa esille 1990-luvun laman uhrien asema ja huolehtia siitä, ettei tämän laman uhreille käy samoin. Lopuksi: heikkojen ja väliinputoajien asioiden pitäminen esillä."
Vasemmistoliitto,"Kuntarakenne uudistusta sekä siihen liittyvää sosiaali- ja terveysalan palvelujärjestelyjen vaatimukseni on lähipalveluiden turvaaminen, myös reuna-alueille. Oikeudenmukaisuuden periaatteen tulee toteutua myös niille jotka eivät ole hylänneet koti-ja synnyinseutuaan, missä kokevat elävänsä hyvää ja laadukasta elämää."
Vihreä liitto,Perustulo pitää saada jossain muodossa aikaiseksi. On suosittava lähituotantoa ja luotava työpaikkoja. Yrityksille tarvitaan lisää hengitystilaa. Ympäristölle on annettava mahdollisuus selvitä ilmastonmuutoksesta.
Vasemmistoliitto,"Tasapuolisia ja järkeviä palveluita, kaikenikäisten hyvinvointia sekä ongelmien ennaltaehkäisyä. Perustuloa, pienyrittäjien aseman parantamista sekä verotuksen tasapuolistamista. Sosiaali- ja terveysalan, poliisin ja pelastuksen resurssit ja valmius täytyy turvata. Työ ei tehostu kiristämällä, vaan panostamalla työhyvinvointiin ja järkeistämällä palvelurakenteita sekä toimintaa."
Perussuomalaiset,"Työtä, toivoa, turvaa. Haluan olla mukana talkoissa parantamassa Suomen taloustilannetta. Se tehdään sopimalla yhteisesti tarvittavista leikkauksista ja panostuksista elinkeinoelämään. Rakennemuutoksia suunniteltaessa on käytettävä ensisijaisesti ihmisiin kohdistuvien vaikutusten arviointia, ei yksin taloudellisia näkökohtia. Haluan myös työskennellä turvallisen suomalaisen yhteiskunnan eteen."
Vihreä liitto,"Työllisyys, ympäristön suojelu, koulutus, sosiaalinen oikeudenmukaisuus ja köyhyyden vähentäminen."
Kansallinen Kokoomus,"Syrjäytymisen ehkäisy koulutuksen ja työllisyyden avulla sekä vahvistamalla yhteisöllisiä rakenteita ja kehittämällä palvelujärjestelmää niin, että se tukee hyvinvointia ja ongelmien ennaltaehkäisyä"
Suomen Sosialidemokraattinen Puolue,"Lasten ja nuorten kaikkinaista hyvinvointia! Luovien alojen ja tekijöiden aseman kehittämistä , turvaamista ja tulkkaamista.Kokonaisvaltaisen yhteistyön rohkaisemista ja rakentamista niin puolueiden kuin kansalaistenkin välille."
Suomen Kristillisdemokraatit (KD),"Edistän perheiden, yrittäjien ja isänmaan etua kristilliseltä arvopohjalta."
Suomen Sosialidemokraattinen Puolue,"Lisätä työllisyyttä, turvata julkiset palvelut sekä nostaa terveysliikunta ennaltaehkäisevänä toimintana sille kuuluvaan asemaan."
Suomen Keskusta,"Suomen luonnonvarat tulee saada kehitettyä jalosteiksi ja saada sitä kautta Suomelle tärkeää työtä ja vientituloja. Kotimaisen uusiutuvan energian tuotantomuotoja ja tuotantoa tulee lisätä. Kotimaisen ruuan tuotanto tulee turvata. Nämäkin edellyttävät, että koko Suomi tulee olla jatkossakin asuttu."
Suomen Keskusta,"Suomalaisten kokonaisvaltaista hyvinvointia: fyysinen, henkinen, sosiaalinen ja taloudellinen. Pienyrittäjien aseman parantamista. Ikäihmisten psyykkistä hyvinvointia ja masennuksen ennaltaehkäisevää toimintaa kaikissa ikäluokissa."
Kansallinen Kokoomus,"Haluan ajaa kaikkia niitä asioita, jotka edistävät Suomen ja suomalaisten hyvinvointia.    Keskeiset vaaliteemani ovat:  1. Turvallisuudesta ei voi tinkiä.  2. Tulevaisuuden voimavara: Suomen aktiiviset seniorit.  3. Työpaikkona yrittäjyyttä edistämällä."
Vasemmistoliitto,"Parempaa toimeentuloa pienituloisille, palkallaan on tultava myös toimeen. Eläkkeiden, opintotukien sekä muiden etuuksien indeksin parantaminen. Työ on parasta sosiaalipolitiikkaa, työpaikkojen turvaaminen ympäri maata."
Vasemmistoliitto,"Haluan puolustaa sosiaali- ja terveyspalveluita leikkauksilta, tehdä kaikkeni asunnottomuuden vähentämiseksi, edistää monimuotoista kulttuuria ja vastustaa eriarvoisuuden lisääntymistä yhteiskunnassa."
Suomen Kristillisdemokraatit (KD),"Haluan tukea koteja, isiä, äitejä ja lapsia, mahdollistaa yrittäjille yrittäminen ja työllistäminen , hillitä velan kasvua, edistää sisäistä ja ulkoista turvallisuutta, antaa kotimaisen viljan kasvaa ruokapöytiimme, pitää heikommasta huolta ja vaivaista armahtaa."
Perussuomalaiset,"Ikäihmisten asiat ovat minulle tärkeimpiä. Ikäihmisten arvokas vanhuus on turvattava. Vanhustenhoidon resurssit ja hoidon hyvä laatu on turvattava. Pienten eläkkeiden ostovoimaa on lisättävä. Omaishoitajat ovat avainasemassa turvaamassa terveydenhuollon riittävyyttä. Heidän asemaansa ja tukea tulee parantaa. Vammaisten oikeudet ja esteetön liikkuminen on turvattava.    EU-liittovaltiokehityksen ja uudet tukipaketit muiden maiden ökypankkiireille on estettävä. Suomen uuden hallituksen on välittömästi aloitettava neuvottelut jäsenmaksujen alentamisesta ja varsinkin Ruotsille, Itävallalle, Hollannille ja Iso-Britannialle maksamiemme jäsenmaksuhelpotusten lakkauttamisesta.    Muita minulle tärkeitä asioita ovat maahanmuuton rajoittaminen, harmaan talouden nujertaminen ja pakkoruotsin lakkauttaminen.    Työllisyyteen on panostettava voimakkaasti. Rakennusteollisuudessa on noin 13000 henkilöä työttömänä. Valtion on tuettava kohtuuhintaista asuntorakentamista ja homekoulujen korjaustalkoita, jotta saamme nämä ihmiset työllistettyä."
Suomen Keskusta,"Työllisyydenhoitoa,   Yrittäjien aseman parantaminen   Kotimainen maatalous ja elintarvikeala kilpailukykyiseksi"
Kansallinen Kokoomus,"- Työn tekemisen, työllistämisen ja yrittämisen on oltava kannattava vaihtoehto elämäntilanteesta riippumatta. Byrokratiaa ja verotusta karsittava.  - Hyvinvointi on elinvoimaisuutemme edellytys. Tarvitsemme lapsille, perheille ja nuorille lisää e"
Suomen Sosialidemokraattinen Puolue,Työllisyys Suomessa.Terveyspalveluiden kehittäminen.Liikunta ja kulttuuri toimien tukeminen.
Vihreä liitto,"Yhdenvertaisuutta, työllisyyttä, kotimaista tuottavuutta, uusiutuvaa energiaa, välittämistä"
Kansallinen Kokoomus,1) Työntekoa ja yrittämistä  2) Koulutusta ja osaamista  3) Hyvää terveyttä ja turvallista vanhuutta
Perussuomalaiset,"Työllisyyden parantaminen, järkeä työttömyyden hoitoon, kansalaisten tasavertaisuuden edistäminen, järkeä sote-uudistukseen ja ei kuntien pakkoliitoksille. Ei tasaverolle."
Perussuomalaiset,Verotus on numero 1. Työllistäminen ja yrittäminen
Vihreä liitto,"Haluan olla edistämässä lasten, nuorten ja lapsiperheiden hyvinvointia. Suomen on kavennettava hyvinvointieroja keskittymällä ennaltaehkäisyyn ja palveluiden saavutettavuuteen. Maksuton ja laadukas koulutus kaikilla koulutusasteilla tulee turvata, sillä uskon koulutuksen luovan tasa-arvoa ja kilpailukykyä. Haluan Suomen, joka kantaa vastuunsa maailmanlaajuisissa ongelmissa ja jossa monikulttuurisuus nähdään voimavarana."
Suomen Sosialidemokraattinen Puolue,"Koulutus on sijoitus, josta leikkaaminen täytyy lopettaa. Nollatyösopimuksista on viimein päästävä eroon."
Suomen Sosialidemokraattinen Puolue,"Suomessa tarvitaan toimimattoman talouskurin sijaan politiikkaa, joka luo uutta kasvua ja työtä, vähentää eriarvoisuutta ja on ympäristön näkökulmasta kestävää. Nyt on tehtävä järkeviä investointeja, panostettava osaamiseen ja tutkimukseen sekä uudistettava rohkeasti elinkeinorakennetta. Samalla on huolehdittava siitä, ettei tekemämme politiikka johda tulo- ja hyvinvointierojen kasvuun. Meillä on edelleen varaa yhteiskuntaan, jossa kaikki pysyvät samassa veneessä."
Suomen Sosialidemokraattinen Puolue,Tärkeimpänä tavoitteenani on Suomen talouden hoitaminen uusia työpaikkoja ja kasvua luomalla. Erityisesti biotalous ja siihen liittyvät innovaatiot ja niiden tuotanto luovat uutta työtä ja lisäävät vientitulojamme. Tuloeroja on kavennettava tulonsiirroin ja verotuksen avulla.
Kansallinen Kokoomus,"Hyvinvointiyhteiskunta tulee päivittää useilla eri sektoreilla. Uudistusta tarvitaan esimerkiksi koulutusjärjestelmään, sosiaaliturvaan, työmarkkinajärjestelmään ja sääntelyn tulkintaan. Näiden aihepiirien ympärillä on myös osaamiseni ja intohimoni vaikuttaa. Päämääränä on onnellinen Suomi."
Suomen Keskusta,"Eduskuntavaaliehdokkaana asetan tavoitteen yhä onnellisemmasta ja turvallisemmasta Savo-Karjalasta. Suomen saamisessa takaisin nousujohteiselle uralle korostuu puolestaan työhön, työllistämiseen ja toimeentulon edistämiseen liittyvät asiat. Kolmas keskeinen tavoite ehdokkuuden perustana on kokemukset ja näkemykset Euroopan unionissa tehtävästä kansallisesta edunvalvonnasta."
Perussuomalaiset,"Haluan edistää perheiden hyvinvointia ja luoda lapsille mahdollisuus onnelliseen lapsuuteen sekä ikäihmisille oikeus oikeudenmukaiseen vanhuuteen, Yrittäyyteen kannustaminen, maaseutuyrittäjien ongelmien ratkominen ja elinvoimaisen kapungin ja virkeän maaseudun yhteensovittaminenovat tärkeitä lähtökohtia, kun taloutta lähdetään kohentamaan. Koulutusta olisi muutettava työelämän tarpeiden mukaiseksi, jotta saadaan vähenettyä nuorisotyöttömyyttä."
Suomen Keskusta,Tärkein tehtävä olisi ajaa Lapin lääniin huomattavasti parempaa työllisyysastetta. Uusiutuvien polttoaineiden voimakas lisääminen. Huolenpitoa ikäihmisistä uusin konstein.
Suomen Sosialidemokraattinen Puolue,"Haluan torjua julkisen puolen alasajon oikeiston suunnittelemalla tavalla. Julkinen sektori tarjoaa parhaimmat palvelut tasa-arvoisesti kaikille kansalaisille.  Työtä tarvitaan Suomeen. Siinä metsä- ja bioenergian hyödyntäminen on yksi avaintekijä tulevaisuudessa. Jos sähköstä pystytään tulevaisuudessa tuottamaan suurin osa kotimaisin voimin uusiutuvalla ja saasteettomalla tuotannolla, pyöritämme slloin miljardeja euroja nykyistä enemmän kotimaassa vuositasolla."
